i	n-2	n-1	n
193	208.12900273493653	90.20947018178177	83.65209805601671
194	90.20947018178177	83.65209805601671	179.89804163759146
195	83.65209805601671	179.89804163759146	419.3573016643207
196	179.89804163759146	419.3573016643207	456.892306208583
197	419.3573016643207	456.892306208583	214.63268665139069
198	456.892306208583	214.63268665139069	93.01376140392756
199	214.63268665139069	93.01376140392756	86.23914096292962
200	93.01376140392756	86.23914096292962	185.43307928043458
201	86.23914096292962	185.43307928043458	432.19411185216876
202	185.43307928043458	432.19411185216876	470.8071015857289
203	432.19411185216876	470.8071015857289	221.1363806237921
204	470.8071015857289	221.1363806237921	95.81805689700118
205	221.1363806237921	95.81805689700118	88.82618775108904
206	95.81805689700118	88.82618775108904	190.9681251039544
207	88.82618775108904	190.9681251039544	445.0309407321593
208	190.9681251039544	445.0309407321593	484.7219169267131
209	445.0309407321593	484.7219169267131	227.64008379061067
210	484.7219169267131	227.64008379061067	98.622356296829
211	227.64008379061067	98.622356296829	91.41323809110821
212	98.622356296829	91.41323809110821	196.50317841714406
213	91.41323809110821	196.50317841714406	457.8677867327724
214	196.50317841714406	457.8677867327724	498.636750560899
215	457.8677867327724	498.636750560899	234.1437953859876
216	498.636750560899	234.1437953859876	101.42665927949196
217	234.1437953859876	101.42665927949196	94.00029168984302
218	101.42665927949196	94.00029168984302	202.038238604682
219	94.00029168984302	202.038238604682	470.7046484538334
220	202.038238604682	470.7046484538334	512.5516009989783
221	470.7046484538334	512.5516009989783	240.6475147268151
222	512.5516009989783	240.6475147268151	104.23096555591374
223	240.6475147268151	104.23096555591374	96.58734828554107
224	104.23096555591374	96.58734828554107	207.57330511684648
225	96.58734828554107	207.57330511684648	483.5415246437815
226	207.57330511684648	483.5415246437815	526.4664669090222
227	483.5415246437815	526.4664669090222	247.15124120185519
228	526.4664669090222	247.15124120185519	107.03527486729904
229	247.15124120185519	107.03527486729904	99.17440764374965
230	107.03527486729904	99.17440764374965	213.1083774610016
231	99.17440764374965	213.1083774610016	496.37841418046435
232	213.1083774610016	496.37841418046435	540.3813470962292
233	496.37841418046435	540.3813470962292	253.65497426253054
234	540.3813470962292	253.65497426253054	109.83958698127005
235	253.65497426253054	109.83958698127005	101.76146955384745
236	109.83958698127005	101.76146955384745	218.64345519437524
237	101.76146955384745	218.64345519437524	509.21531605483534
238	218.64345519437524	509.21531605483534	554.2962404857229
239	509.21531605483534	554.2962404857229	260.15871341509666
240	554.2962404857229	260.15871341509666	112.64390168857986
241	260.15871341509666	112.64390168857986	104.34853382609184
242	112.64390168857986	104.34853382609184	224.17853791790645
243	104.34853382609184	224.17853791790645	522.0522293570546
244	224.17853791790645	522.0522293570546	568.2111461078748
245	522.0522293570546	568.2111461078748	266.6624582139583
246	568.2111461078748	266.6624582139583	115.44821880030453
247	266.6624582139583	115.44821880030453	106.93560028909454
248	115.44821880030453	106.93560028909454	229.71362527098157
249	106.93560028909454	229.71362527098157	534.8891532645899
250	229.71362527098157	534.8891532645899	582.1260630857314
251	534.8891532645899	582.1260630857314	273.1662082559404
252	582.1260630857314	273.1662082559404	118.25253814543434
253	273.1662082559404	118.25253814543434	109.52266878765478
254	118.25253814543434	109.52266878765478	235.2487169269134
255	109.52266878765478	235.2487169269134	547.7260870319909
256	235.2487169269134	547.7260870319909	596.0409906242008
257	547.7260870319909	596.0409906242008	279.6699631753576
258	596.0409906242008	279.6699631753576	121.05685956879991
259	279.6699631753576	121.05685956879991	112.10973918089257
260	121.05685956879991	112.10973918089257	240.78381258904346
261	112.10973918089257	240.78381258904346	560.5630299820666
262	240.78381258904346	560.5630299820666	609.9559280007201
263	560.5630299820666	609.9559280007201	286.1737226397564
264	609.9559280007201	286.1737226397564	123.86118292927962
265	286.1737226397564	123.86118292927962	114.69681134063413
266	123.86118292927962	114.69681134063413	246.31891198736932
267	114.69681134063413	246.31891198736932	573.3999814982476
268	246.31891198736932	573.3999814982476	623.8708745571687
269	573.3999814982476	623.8708745571687	292.6774863462239
270	623.8708745571687	292.6774863462239	126.66550809824533
271	292.6774863462239	126.66550809824533	117.28388515001117
272	126.66550809824533	117.28388515001117	251.8540148756168
273	117.28388515001117	251.8540148756168	586.2369410179523
274	251.8540148756168	586.2369410179523	637.7858296928432
275	586.2369410179523	637.7858296928432	299.18125401817844
276	637.7858296928432	299.18125401817844	129.4698349582097
277	299.18125401817844	129.4698349582097	119.8709605022413
278	129.4698349582097	119.8709605022413	257.38912102868943
279	119.8709605022413	257.38912102868943	599.0739080268039
280	257.38912102868943	599.0739080268039	651.7007928583282
281	599.0739080268039	651.7007928583282	305.68502540256964
282	651.7007928583282	305.68502540256964	132.2741634016458
283	305.68502540256964	132.2741634016458	122.45803729956309
284	132.2741634016458	122.45803729956309	262.92423024044007
285	122.45803729956309	262.92423024044007	611.9108820535764
286	262.92423024044007	611.9108820535764	665.6157635501382
287	611.9108820535764	665.6157635501382	312.188800267428
288	665.6157635501382	312.188800267428	135.07849332995352
289	312.188800267428	135.07849332995352	125.04511545230322
290	135.07849332995352	125.04511545230322	268.45934232171834
291	125.04511545230322	268.45934232171834	624.7478626657631
292	268.45934232171834	624.7478626657631	679.5307413060161
293	624.7478626657631	679.5307413060161	318.6925783997144
294	679.5307413060161	318.6925783997144	137.8828246525519
295	318.6925783997144	137.8828246525519	127.63219487805702
296	137.8828246525519	127.63219487805702	273.9944570986541
297	127.63219487805702	273.9944570986541	637.5848494656796
298	273.9944570986541	637.5848494656796	693.4457257007986
299	637.5848494656796	693.4457257007986	325.1963596034282
300	693.4457257007986	325.1963596034282	140.6871572860805
301	325.1963596034282	140.6871572860805	130.2192755009666
302	140.6871572860805	130.2192755009666	279.5295744111451
303	130.2192755009666	279.5295744111451	650.4218420870286
304	279.5295744111451	650.4218420870286	707.3607163427681
305	650.4218420870286	707.3607163427681	331.700143697937
306	707.3607163427681	331.700143697937	143.49149115369366
307	331.700143697937	143.49149115369366	132.8063572510835
308	143.49149115369366	132.8063572510835	285.06469411152113
309	132.8063572510835	285.06469411152113	663.2588401918644
310	285.06469411152113	663.2588401918644	721.2757128704282
311	663.2588401918644	721.2757128704282	338.2039305164992
312	721.2757128704282	338.2039305164992	146.29582618443658
313	338.2039305164992	146.29582618443658	135.39344006380423
314	146.29582618443658	135.39344006380423	290.5998160633598
315	135.39344006380423	290.5998160633598	676.0958434679004
316	290.5998160633598	676.0958434679004	735.190714949644
317	676.0958434679004	735.190714949644	344.70771990495473
318	735.190714949644	344.70771990495473	149.10016231269148
319	344.70771990495473	149.10016231269148	137.9805238793694
320	149.10016231269148	137.9805238793694	296.1349401404362
321	137.9805238793694	296.1349401404362	688.9328516261209
322	296.1349401404362	688.9328516261209	749.1057222711017
323	688.9328516261209	749.1057222711017	351.2115117205596
324	749.1057222711017	351.2115117205596	151.90449947768485
325	351.2115117205596	151.90449947768485	140.56760864241787
326	151.90449947768485	140.56760864241787	301.670066225787
327	140.56760864241787	301.670066225787	701.7698643986519
328	301.670066225787	701.7698643986519	763.0207345480463
329	701.7698643986519	763.0207345480463	357.71530583094886
330	763.0207345480463	357.71530583094886	154.7088376230488
331	357.71530583094886	154.7088376230488	143.1546943015897
332	154.7088376230488	143.1546943015897	307.20519421087727
333	143.1546943015897	307.20519421087727	714.6068815368643
334	307.20519421087727	714.6068815368643	776.9357515142618
335	714.6068815368643	776.9357515142618	364.21910211320994
336	776.9357515142618	364.21910211320994	157.5131766964287
337	364.21910211320994	157.5131766964287	145.7417808091709
338	157.5131766964287	145.7417808091709	312.7403239948538
339	145.7417808091709	312.7403239948538	727.4439028096747
340	312.7403239948538	727.4439028096747	790.850772922264
341	727.4439028096747	790.850772922264	370.7229004530539
342	790.850772922264	370.7229004530539	160.31751664913259
343	370.7229004530539	160.31751664913259	148.32886812077567
344	160.31751664913259	148.32886812077567	318.27545548387775
345	148.32886812077567	318.27545548387775	740.2809280020252
346	318.27545548387775	740.2809280020252	804.7657985416829
347	740.2809280020252	804.7657985416829	377.2267007440721
348	804.7657985416829	377.2267007440721	163.1218574358161
349	377.2267007440721	163.1218574358161	150.91595619506114
350	163.1218574358161	150.91595619506114	323.81058859052547
351	150.91595619506114	323.81058859052547	753.1179569135181
352	323.81058859052547	753.1179569135181	818.6808281578072
353	753.1179569135181	818.6808281578072	383.73050288706855
354	818.6808281578072	383.73050288706855	165.92619901419982
355	383.73050288706855	165.92619901419982	153.503044993471
356	165.92619901419982	153.503044993471	329.34572323324915
357	153.503044993471	329.34572323324915	765.9549893571874
358	329.34572323324915	765.9549893571874	832.5958615702771
359	765.9549893571874	832.5958615702771	390.234306789459
360	832.5958615702771	390.234306789459	168.7305413448147
361	390.234306789459	168.7305413448147	156.0901344800048
362	168.7305413448147	156.0901344800048	334.8808593358916
